date,open,high,low,close,volume,dayOfweek,open_24,close_24
15/06/2015 02:00,123.487,123.502,123.438,123.492,2508,Monday,123.542,123.527
15/06/2015 03:00,123.493,123.505,123.399,123.434,2700,Monday,123.528,123.545
15/06/2015 04:00,123.434,123.486,123.383,123.457,2916,Monday,123.546,123.571
15/06/2015 05:00,123.459,123.551,123.455,123.511,3761,Monday,123.571,123.581
15/06/2015 06:00,123.51,123.537,123.334,123.437,5859,Monday,123.581,123.608
15/06/2015 07:00,123.436,123.62,123.378,123.523,8027,Monday,123.608,123.484
15/06/2015 08:00,123.522,123.571,123.458,123.511,5981,Monday,123.488,123.582
15/06/2015 09:00,123.512,123.581,123.469,123.547,5591,Monday,123.581,123.542
15/06/2015 10:00,123.548,123.656,123.548,123.602,5024,Monday,123.542,123.533
15/06/2015 11:00,123.603,123.66,123.52,123.537,4734,Monday,123.534,123.478
15/06/2015 12:00,123.54,123.545,123.323,123.401,6730,Monday,123.478,123.41
15/06/2015 13:00,123.401,123.506,123.301,123.347,7432,Monday,123.411,123.379
15/06/2015 14:00,123.348,123.496,123.325,123.483,5612,Monday,123.378,123.427
15/06/2015 15:00,123.484,123.536,123.377,123.39,5471,Monday,123.423,123.395
15/06/2015 16:00,123.389,123.524,123.383,123.439,3964,Monday,123.395,123.398
15/06/2015 17:00,123.439,123.535,123.418,123.477,3070,Monday,123.399,123.384
15/06/2015 18:00,123.475,123.483,123.364,123.389,3315,Monday,123.385,123.364
15/06/2015 19:00,123.389,123.394,123.341,123.385,2881,Monday,123.363,123.384
15/06/2015 20:00,123.381,123.409,123.37,123.407,1281,Monday,123.385,123.354
15/06/2015 21:00,123.402,123.485,123.392,123.403,1608,Monday,123.355,123.375
15/06/2015 22:00,123.404,123.432,123.395,123.416,1622,Monday,123.377,123.382
15/06/2015 23:00,123.416,123.435,123.394,123.421,1800,Monday,123.383,123.456
16/06/2015 00:00,123.422,123.49,123.408,123.422,4012,Tuesday,123.455,123.425
16/06/2015 01:00,123.422,123.798,123.31,123.541,6733,Tuesday,123.424,123.374
16/06/2015 02:00,123.542,123.646,123.511,123.527,4275,Tuesday,123.376,123.439
16/06/2015 03:00,123.528,123.594,123.507,123.545,2330,Tuesday,123.44,123.444
16/06/2015 04:00,123.546,123.591,123.522,123.571,2186,Tuesday,123.445,123.475
16/06/2015 05:00,123.571,123.631,123.545,123.581,2880,Tuesday,123.474,123.542
16/06/2015 06:00,123.581,123.643,123.551,123.608,4745,Tuesday,123.542,123.552
16/06/2015 07:00,123.608,123.622,123.398,123.484,6705,Tuesday,123.552,123.654
16/06/2015 08:00,123.488,123.585,123.467,123.582,5705,Tuesday,123.653,123.86
16/06/2015 09:00,123.581,123.586,123.511,123.542,4310,Tuesday,123.86,123.915
16/06/2015 10:00,123.542,123.56,123.486,123.533,3701,Tuesday,123.917,123.913
16/06/2015 11:00,123.534,123.557,123.457,123.478,4020,Tuesday,123.915,123.865
16/06/2015 12:00,123.478,123.489,123.299,123.41,6989,Tuesday,123.865,123.975
16/06/2015 13:00,123.411,123.467,123.373,123.379,5198,Tuesday,123.976,124.057
16/06/2015 14:00,123.378,123.44,123.291,123.427,6260,Tuesday,124.059,124.239
16/06/2015 15:00,123.423,123.474,123.388,123.395,4563,Tuesday,124.243,124.249
16/06/2015 16:00,123.395,123.413,123.36,123.398,3237,Tuesday,124.25,124.221
16/06/2015 17:00,123.399,123.408,123.363,123.384,2153,Tuesday,124.221,124.246
16/06/2015 18:00,123.385,123.407,123.338,123.364,2224,Tuesday,124.246,123.37
16/06/2015 19:00,123.363,123.395,123.357,123.384,2103,Tuesday,123.371,123.4
16/06/2015 20:00,123.385,123.4,123.348,123.354,1868,Tuesday,123.399,123.42
16/06/2015 21:00,123.355,123.406,123.347,123.375,1459,Tuesday,123.42,123.419
16/06/2015 22:00,123.377,123.413,123.357,123.382,2302,Tuesday,123.418,123.48
16/06/2015 23:00,123.383,123.456,123.372,123.456,2067,Tuesday,123.478,123.573
17/06/2015 00:00,123.455,123.461,123.412,123.425,3380,Wednesday,123.573,123.411
